"PCN Number","Publish Date","PCN Title","Key Characteristics",4M,"Product Categories",Abstract
119231-00,"2022/08/24 22:00:00","Select Intel(R) Server Board Products, PCN 119231-00, Product Design, Board FW Update from Factory","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119235-00,"2022/08/24 22:00:00","Intel(R) Server Board D50TNP1SB, PCN 119235-00, Product Design, BIOS/BMC/ME/FRUSDR Firmware Update in Factory","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119228-00,"2022/08/24 22:00:00","Select Intel(R) Arria(R) 10 & Intel(R) Cyclone(R) 10 Devices, PCN 119228-00, Documentation, Device Updates",Documentation,,"FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
118451-01,"2022/08/22 22:00:00","Intel(R) Ethernet Server Adapter I350-F4 and
Intel(R) Ethernet Server Adapter I350-F2, PCN 118451-01, Product Discontinuance, End of Life, Reason for Revision: Clarify that there are no replacement parts available","Product Discontinuance",,"Networking Products","Networking Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119229-00,"2022/08/19 22:00:00","Intel(R) Server System R2312WFTZSR, PCN 119229-00, Product Design, Label, Product Material, Changes Impacting Server Board and HSBP","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119212-01,"2022/08/19 22:00:00","Select Boxed Intel(R) Core¬ i9-12900K Processors, PCN 119212-01, Product Material, Packaging changes, Reason for Revision: Update Change title","Product Material",Material,"Desktop Processors","Desktop Processors, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
119226-00,"2022/08/19 22:00:00","Select Intel(R) NUC 11 Essential Mini PC with Intel(R) Celeron(R) Processor, 4GB DDR4, 64GB eMMC, and Windows(R) 11 Home, 
Intel(R) NUC 11 Essential Kit NUC11ATKC2, 
Intel(R) NUC 11 Essential Kit NUC11ATKC4, 
Intel(R) NUC 11 Essential Kit NUC11ATKPE
, PCN","Product Material",Material,"Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
119221-00,"2022/08/19 22:00:00","Intel(R) Server System M50CYP2UR208, PCN 119221-00, Product Design, Firmware Update","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119218-00,"2022/08/18 22:00:00","Intel(R) Optane¬ SSD DC P4801X Series, PCN 119218-00, Product Discontinuance, End of Life","Product Discontinuance",,"Flash Memory Products","Flash Memory Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119200-00,"2022/08/10 22:00:00","MINOR CHANGE, 
Select Intel Atom(R) Processors (P* and C* Series), PCN 119200-00, Transport Media, Adding Korean Recycle Mark to Shipping Tray","Transport Media",Material,"Networking Products, Server Processors","Networking Products, Server Processors, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information."
119211-00,"2022/08/05 22:00:00","Select Boxed Intel(R) Core¬ i9-10980XE Extreme Edition Processors,, PCN 119211-00, Product Material, Packaging changes","Product Material",Material,"Desktop Processors","Desktop Processors, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
119145-01,"2022/08/05 22:00:00","Select Intel(R) Wi-Fi 6E AX211 1216 and Intel(R) Killer¬ Wi-Fi 6E AX1675s 1216 SKUs, PCN 119145-01, Product Design, Label, Product Material, Second Source Supplier, OTP update and Label changes, Reason for Revision: Updated Ready to Receive datea and addi","Product Design","Material, Method","Networking Products","Networking Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119135-01,"2022/08/05 22:00:00","Select Intel(R) Wi-Fi 6E AX211 (Gig+), 2230,
Intel(R) Killer¬ Wi-Fi 6E AX1675 i (Gig+), 2230, PCN 119135-01, Product Design, Label, Second Source, OTP, and Label Update, Reason for Revision: Updated Ready to Receive date and additional details added under","Product Design","Material, Method","Networking Products","Networking Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119213-00,"2022/08/04 22:00:00","Select Intel(R) Server Board M50CYP2SBSTD, PCN 119213-00, Product Design, Firmware Update","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119206-00,"2022/08/02 22:00:00","Intel(R) Agilex¬ Device Family, PCN 119206-00, Documentation, Intel(R) Agilex¬ Pin Connection Guidelines Update",Documentation,,"FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
119202-00,"2022/08/01 22:00:00","Select Intel(R) SMARTi¬ 4J, PCN 119202-00, Product Discontinuance, End of Life","Product Discontinuance",,"Chipsets - Mobile IMC","Chipsets - Mobile IMC, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119205-00,"2022/08/01 22:00:00","Select Intel(R) Pentium(R) Gold Processor and 10th Generation Intel(R) Core¬ i3 Processors Series, PCN 119205-00, Product Discontinuance, End of life","Product Discontinuance",,"Mobile Processors","Mobile Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119203-00,"2022/07/28 22:00:00","Intel(R) NUC M15 Laptop with Intel(R) Core¬ i7 Processor, PCN 119203-00, Label, Documentation, Update Regulatory label and User Guide",Label,"Machine, Material","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119201-00,"2022/07/28 22:00:00","Select FPGA Products, PCN 119201-00, Product Discontinuance, End of Life","Product Discontinuance",,"FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119186-00,"2022/07/26 22:00:00","Select Intel(R) NUC Board Element BBMC1B1, 
Intel(R) NUC 11 Extreme Kit, NUC11BTMi7, 
Intel(R) NUC 11 Extreme Kit, NUC11BTMi9 series SKUs, PCN 119186-00, Product Design, Documentation, Product Material, Second source PCB controller and regulatory flyer up","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119197-00,"2022/07/21 22:00:00","Select Intel(R) Server System R2308WFTZSR,
PCN 119197-00, PCN 119197-00, Product Design, Label, Label update, PSU firmware update","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119195-00,"2022/07/20 22:00:00","Intel(R) Agilex¬ Device Family, PCN 119195-00, Documentation, Documentation Updates",Documentation,,"FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
119191-00,"2022/07/19 22:00:00","Intel(R) Server System R1208WFTZSR,
PCN 119191-00,  Label,  Product Design
Label and Power Supply update, PCN 119191-00, Label, Product Design, Label and Power Supply update",Label,"Machine, Material","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119194-00,"2022/07/19 22:00:00","Select Intel(R)1300W AC CRPS 80+ Titanium efficiency power supply module AXX1300TCRPS, 
PCN 119194-00, Product Design, 
, PCN 119194-00, Product Design, Label, Power Supply Update","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119183-00,"2022/07/19 22:00:00","MINOR CHANGE
Intel(R) C620 Series Chipsets, PCN 119183-00, Manufacturing Site, Label, Enabling Vietnam Manufacturing Site","Manufacturing Site","Machine, Man","Chipsets - Workstation Server","Chipsets - Workstation Server, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
119185-00,"2022/07/14 22:00:00","Intel(R) Server System R2308WFTZSR, Single,, PCN 119185-00, Product Design, Label, FW revision and PSU label updates","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119182-00,"2022/07/12 22:00:00","Intel(R) Server Board DDR4 D50TNP1SBCR, Single
, PCN 119182-00, Label, Addition and update of the UKCA and Canada Regulatory Logos in Package Label",Label,"Machine, Material","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119177-00,"2022/07/11 22:00:00","Select Intel(R) NUC 7 Essential, PCN 119177-00, Product Discontinuance, End of Life","Product Discontinuance",,"Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
